Name,K_mean,N_mean,P_mean,temperature_mean,humidity_mean,ph_mean,rainfall_mean
Broccoli,-0.3950668150354444,0.07255133840359251,-0.29936301948698496,-0.7301962687241927,-2.464421287186039,-0.7414554190054972,0.3914198585567319
Kiwi,2.8629214851936386,1.7705808873375752,2.169387019471225,-0.4785267751289452,-1.6150336856373309,-1.031437091513212,-0.31767255589462007
Strawberry,2.7858723050491743,-0.02427392101446546,2.1110027808077625,0.21191830555353164,0.7152268584760213,0.089651025912169,-1.090468349710743
Raspberry,0.10127429400841026,1.882508709093893,0.07674088862171458,-0.0427145180396674,-0.1441620178541485,1.6723840036536237,1.003334173318837
Blackberry,1.4074976252206288,0.9501323585534994,1.0665353883722333,-0.3024639227536044,-1.0208194176918297,1.1630852813028487,-0.754451498438434
Blueberry,2.3576789566653873,0.877937607703445,1.7865380350535216,-0.13047372526399442,-0.44035040951503923,-0.5351596378509645,0.7870409239045044
Avocado,1.2625620825001458,1.6061640841945684,0.9567100625070474,0.06002701280121947,0.20259189821933887,-0.6399494413145467,0.84210935895884
Lettuce,0.3011525712150227,-0.47793687217494274,0.22819923014062912,-0.30797607335773525,-1.0394229930164887,0.22646444380448494,2.25267742890245
Celery,-0.5309513056988114,1.3642316296182022,-0.40232988452926155,-0.6334175538640289,-2.1377919475639513,0.7332793034565506,2.124691360757942
"Bell peppers (Red, Yellow, Orange)",0.4532533950937221,0.23506183753341603,0.34345406848664534,0.09767366795922633,0.3296498172153446,-0.268901673253781,-0.4432985030446446
Artichokes,1.4731887894910969,0.7336738689852137,1.116313057721299,-0.6515445173305929,-2.1989706697136775,1.7594465700121136,-1.150011945948233
Brussels sprouts,1.7282120235660021,1.491025988719287,1.3095576494877588,0.2509588254468548,0.8469890879051292,1.5678807883309434,-0.2741187951641797
Peaches,-0.5232470865236715,1.2779895525441067,-0.396491990210417,-0.1404764952891444,-0.47410987999805965,1.2889296661522276,1.933522436534086
Pears,0.09174745772262727,1.3956823645237209,0.06952190092614136,-0.05599144073964913,-0.1889717934331543,1.6372309696704677,1.012213563856163
Plums,-0.03060734518082331,1.8470982552886723,-0.02319280416146696,0.18211778615250257,0.6146497430801654,0.857246067740213,-0.9806067706465574
Cherries,2.6558760300589572,0.6420136699073883,2.012497728188649,0.104064375920405,0.35121853430456706,-0.33672901161815294,-0.9947675259241742
Apricots,0.5107191474225716,1.6658248168319618,0.38699890819360033,0.2426811149950751,0.8190517144614509,-0.3770501063907383,-1.4192962107667595
Nectarines,2.9106659868760256,-0.5648882435502806,2.2055655534396084,0.06853667531293776,0.23131211268618213,0.7490392875546132,0.7695011770246494
Cranberries,2.930746860760535,-0.8674307151807247,2.2207818935907415,-0.44106848413705596,-1.4886114979927525,0.37017462451806327,2.0380422252379695
Brazilian Almonds,-0.3984295807491981,1.081126230249803,-0.30191116491349035,0.09352838778416818,0.31565944621192576,0.9364923362109243,-1.3037536032808632
